source_system,source_class_name,source_classid,insqlfileurl,datalake_table_name,target_system,target_class_name,target_classid
DELTA,BRZ_CURR_COMPASS_ICI.CATDIMENSION_1,1263,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.CATDIMENSION.sql,transient_talend_BRZ_CURR_COMPASS_ICI.CATDIMENSION,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_CAT_DIMENSION,1264
DELTA,BRZ_CURR_COMPASS_ICI.CATEGORY,1155,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.CATEGORY.sql,transient_talend_BRZ_CURR_COMPASS_ICI.CATEGORY,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_CATEGORY,1156
DELTA,BRZ_CURR_COMPASS_ICI.COUNTRY_VDX,1146,/data/talend/vars/INSQL/delta/transient_talend.country_vdx.sql,transient_talend.country_vdx,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_COUNTRY,1147
DELTA,BRZ_CURR_COMPASS_ICI.DIVISION,1079,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.DIVISION.sql,transient_talend_BRZ_CURR_COMPASS_ICI.DIVISION,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_DIVISION,1191
DELTA,BRZ_CURR_COMPASS_ICI.DUTYCODES,1248,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.DUTYCODES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.DUTYCODES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_DUTY_CODES,1249
DELTA,BRZ_CURR_COMPASS_ICI.GENERICREFCODES,1293,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.GENERICREFCODES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.GENERICREFCODES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_GENREFCODES,1294
DELTA,BRZ_CURR_COMPASS_ICI.GENERICREFTYPES_3,1271,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.GENERICREFTYPES_3.sql,transient_talend_BRZ_CURR_COMPASS_ICI.GENERICREFTYPES_3,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_GENREFTYPES,1272
DELTA,BRZ_CURR_COMPASS_ICI.HISTORICALPRICING,1059,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.HISTORICALPRICING.sql,transient_talend_BRZ_CURR_COMPASS_ICI.HISTORICALPRICING,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_HISTORICALPRICING,1060
DELTA,BRZ_CURR_COMPASS_ICI.ICI_JVSALESDATA,1347,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.JVSALESDATA.sql,transient_talend_BRZ_CURR_COMPASS_ICI.JVSALESDATA,snowflake,DB_STAGING.DW_RIPSAW.FT_ICI_JV_SALES_DATA,1348
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILBUYS,1216,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILBUYS.sql,transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILBUYS,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_RETAIL_BUYS,1217
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILCALTYPES,1234,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILCALTYPES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILCALTYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_IRETAILCALTYPES,1235
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILCHANNEL,1258,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILCHANNEL.sql,transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILCHANNEL,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_RETAIL_CHANNEL,1259
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILCOMPFLAGS,1277,/data/talend/vars/INSQL/delta/compass/BRZ_CURR_COMPASS_ICI.IRETAILCOMPFLAGS.sql,BRZ_CURR_COMPASS_ICI.IRETAILCOMPFLAGS,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_IRETAILCOMPFLAGS,1278
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILCOMPS,1261,/data/talend/vars/INSQL/delta/compass/BRZ_CURR_COMPASS_ICI.IRETAILCOMPS.sql,BRZ_CURR_COMPASS_ICI.IRETAILCOMPS,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_IRETAILCOMPS,1262
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILKI,1256,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILKI.sql,transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILKI,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_RETAIL_KI,1257
DELTA,BRZ_CURR_COMPASS_ICI.IRETAILSTATUS_1,1343,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILSTATUS.sql,transient_talend_BRZ_CURR_COMPASS_ICI.IRETAILSTATUS,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_IRETAIL_STATUS,1344
DELTA,BRZ_CURR_COMPASS_ICI.ITEM,1252,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.ITEM.sql,transient_talend_BRZ_CURR_COMPASS_ICI.ITEM,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_ITEM,1253
DELTA,BRZ_CURR_COMPASS_ICI.ITEMAMOUNT_1,1226,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.ITEMAMOUNT_1.sql,transient_talend_BRZ_CURR_COMPASS_ICI.ITEMAMOUNT_1,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_ITEM_AMOUNT,1227
DELTA,BRZ_CURR_COMPASS_ICI.ITEMDUTY,1140,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.ITEMDUTY.sql,transient_talend_BRZ_CURR_COMPASS_ICI.ITEMDUTY,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_ITEM_DUTY,1141
DELTA,BRZ_CURR_COMPASS_ICI.ITEMDUTYDEFAULTS_ICI,1279,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.ITEMDUTYDEFAULTS_ICI.sql,transient_talend_BRZ_CURR_COMPASS_ICI.ITEMDUTYDEFAULTS_ICI,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_ITEM_DUTY_DEF,1280
DELTA,BRZ_CURR_COMPASS_ICI.ITEMINFO_VDX,1345,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.ITEMINFO_VDX.sql,transient_talend_BRZ_CURR_COMPASS_ICI.ITEMINFO_VDX,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_ITEM_INFO,1346
DELTA,BRZ_CURR_COMPASS_ICI.KEYCATDW,1228,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.KEYCATDW.sql,transient_talend_BRZ_CURR_COMPASS_ICI.KEYCATDW,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_KEYCATDW,1229
DELTA,BRZ_CURR_COMPASS_ICI.KEYINITIATIVES,1328,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.KEYINITIATIVES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.KEYINITIATIVES,snowflake,DB_STAGING.DW_RIPSAW.FT_KEYINITIATIVES,1329
DELTA,BRZ_CURR_COMPASS_ICI.LOCATION_ICI,1209,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.LOCATION.sql,transient_talend_BRZ_CURR_COMPASS_ICI.LOCATION,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_LOCATION,1210
